z_bin,z_center,env_name,n_red,n_blue,rrf,rbf,selection
0.25-0.35,0.3,Filament,709,647,0.4134110787172012,0.38812237552489504,10.5<logM<12.0
0.25-0.35,0.3,Knot,107,86,0.06239067055393586,0.05158968206358728,10.5<logM<12.0
0.25-0.35,0.3,Sheet,743,777,0.43323615160349854,0.46610677864427114,10.5<logM<12.0
0.25-0.35,0.3,Void,156,157,0.09096209912536443,0.09418116376724656,10.5<logM<12.0
0.35-0.45,0.4,Filament,2511,2813,0.4180819180819181,0.4295968234575443,10.5<logM<12.0
0.35-0.45,0.4,Knot,365,367,0.060772560772560776,0.05604764813683567,10.5<logM<12.0
0.35-0.45,0.4,Sheet,2664,2835,0.4435564435564436,0.43295662797800855,10.5<logM<12.0
0.35-0.45,0.4,Void,466,533,0.07758907758907758,0.08139890042761148,10.5<logM<12.0
0.45-0.55,0.5,Filament,3009,3688,0.4067865350817899,0.41545567196124816,10.5<logM<12.0
0.45-0.55,0.5,Knot,396,509,0.0535352169798567,0.05733919116818745,10.5<logM<12.0
0.45-0.55,0.5,Sheet,3373,3963,0.4559956739218602,0.4464346062859074,10.5<logM<12.0
0.45-0.55,0.5,Void,619,717,0.08368257401649318,0.08077053058465698,10.5<logM<12.0
